asic_0_1_89.FWHM: 176.503
asic_0_1_90.FWHM: 157.359
asic_0_1_91.FWHM: 155.125
asic_0_1_92.FWHM: 151.17
asic_0_1_93.FWHM: 150.587
asic_0_1_94.FWHM: 152.975
asic_0_1_95.FWHM: 150.762
asic_0_1_96.FWHM: 150.186
asic_0_1_97.FWHM: 151.737
asic_0_1_98.FWHM: 157.481
asic_0_1_99.FWHM: 160.039
asic_0_1_106.FWHM: 136.466
asic_0_1_109.FWHM: 137.796
asic_0_1_110.FWHM: 129.419
asic_0_1_111.FWHM: 125.562
asic_0_1_112.FWHM: 119.938
asic_0_1_113.FWHM: 121.247
asic_0_1_114.FWHM: 110.713
asic_0_1_115.FWHM: 106.203
asic_0_1_116.FWHM: 125.583
asic_0_2_0.FWHM: 134.036
asic_0_2_1.FWHM: 130.116
asic_0_2_2.FWHM: 124.556
asic_0_2_3.FWHM: 125.737
asic_0_2_4.FWHM: 124.675
asic_0_2_5.FWHM: 127.359
asic_0_2_6.FWHM: 127.304
asic_0_2_7.FWHM: 126.809
asic_0_2_8.FWHM: 132.98
asic_0_2_9.FWHM: 128.702
asic_0_2_10.FWHM: 127.456
asic_0_2_11.FWHM: 125.859
asic_0_2_12.FWHM: 124.118
asic_0_2_13.FWHM: 126.549
asic_0_2_14.FWHM: 127.99
asic_0_2_15.FWHM: 118.845
asic_0_2_16.FWHM: 129.807
asic_0_2_17.FWHM: 124.461
asic_0_2_18.FWHM: 125.469
asic_0_2_19.FWHM: 130.923
asic_0_2_20.FWHM: 128.186
asic_0_2_21.FWHM: 122.404
asic_0_2_22.FWHM: 124.496
asic_0_2_23.FWHM: 126.038
asic_0_2_24.FWHM: 122.446
asic_0_2_25.FWHM: 121.652
asic_0_2_26.FWHM: 124.539
asic_0_2_27.FWHM: 123.916
asic_0_2_28.FWHM: 126.301
asic_0_2_29.FWHM: 120.125
asic_0_2_30.FWHM: 117.883
asic_0_2_31.FWHM: 122.899
asic_0_2_32.FWHM: 122.997
asic_0_2_33.FWHM: 123.669
asic_0_2_34.FWHM: 123.465
asic_0_2_35.FWHM: 124.429
asic_0_2_36.FWHM: 122.153
asic_0_2_37.FWHM: 119.776
asic_0_2_38.FWHM: 123.139
asic_0_2_39.FWHM: 124.228
